BOGOTA;MANIZALES;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria II;12100;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria III;24700;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria IV;31400;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;PEAJES NACIONALES;Tunel de la linea - Portal Bermell�n;Categoria V;35500;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria I;19200;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria II;24400;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria III;24400;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria IV;24400;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria V;59200;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria VI;72700;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Circasia;Categoria VII;80900;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria I;16100;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria II;21300;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria III;21300;8 h 19 min;369;SI
BOGOTA;MANIZALES;MELGAR;AUTOPISTA DEL CAFE;Tarapaca II;Categoria IV;21300;8 h 19 min;369;SI
